title,year,url,checkedcount,favouritecount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
"The Perfection",2018,http://www.icheckmovies.com/movies/the+perfection/,717,29,0,30,,http://www.imdb.com/title/tt7772580/,"2019-05-25 01:43:29",no,no,no,no
"The Changeling",1980,http://www.icheckmovies.com/movies/the+changeling/,3114,185,3,228,,http://www.imdb.com/title/tt0080516/,"2019-05-19 12:55:29",no,no,no,no
"The Green Inferno",2013,http://www.icheckmovies.com/movies/the+green+inferno/,947,18,0,78,,http://www.imdb.com/title/tt2403021/,"2019-05-15 04:01:25",no,no,no,no
"The Predator",2018,http://www.icheckmovies.com/movies/the+predator-2018/,1538,22,0,60,,http://www.imdb.com/title/tt3829266/,"2019-05-11 16:52:10",no,no,no,no
"Assassination Nation",2018,http://www.icheckmovies.com/movies/assassination+nation/,443,22,1,54,,http://www.imdb.com/title/tt6205872/,"2019-05-08 23:30:20",no,no,no,no
"Await Further Instructions",2018,http://www.icheckmovies.com/movies/await+further+instructions/,162,4,0,11,,http://www.imdb.com/title/tt4971408/,"2019-05-05 22:30:50",no,no,no,no
"Don't Knock Twice",2016,http://www.icheckmovies.com/movies/dont+knock+twice/,250,2,0,11,,http://www.imdb.com/title/tt3622110/,"2019-05-01 23:24:51",no,no,no,no
Bright,2017,http://www.icheckmovies.com/movies/bright-2017/,2490,69,0,46,,http://www.imdb.com/title/tt5519340/,"2019-04-27 23:28:20",no,no,no,no
"Avengers: Endgame",2019,http://www.icheckmovies.com/movies/avengers+endgame/,10377,733,10,304,,http://www.imdb.com/title/tt4154796/,"2019-04-27 23:27:41",no,no,no,no
"Creep 2",2017,http://www.icheckmovies.com/movies/creep+2/,685,36,0,38,,http://www.imdb.com/title/tt3654796/,"2019-04-19 21:03:35",no,no,no,no
Pyewacket,2017,http://www.icheckmovies.com/movies/pyewacket/,183,6,0,17,,http://www.imdb.com/title/tt5119116/,"2019-04-19 16:46:01",no,no,no,no
"Pacific Rim: Uprising",2018,http://www.icheckmovies.com/movies/pacific+rim+uprising/,2312,29,1,50,,http://www.imdb.com/title/tt2557478/,"2019-04-18 22:18:58",no,no,no,no
"The Nun",2018,http://www.icheckmovies.com/movies/the+nun-2018/,1717,15,1,60,,http://www.imdb.com/title/tt5814060/,"2019-04-18 18:03:40",no,no,no,no
"Jurassic World: Fallen Kingdom",2018,http://www.icheckmovies.com/movies/jurassic+world+fallen+kingdom/,5272,74,2,110,,http://www.imdb.com/title/tt4881806/,"2019-04-18 15:06:36",no,no,no,no
"Velvet Buzzsaw",2019,http://www.icheckmovies.com/movies/velvet+buzzsaw/,1547,32,0,49,,http://www.imdb.com/title/tt7043012/,"2019-04-16 21:09:33",no,no,no,no
Polar,2019,http://www.icheckmovies.com/movies/polar-2019/,948,22,0,26,,http://www.imdb.com/title/tt4139588/,"2019-04-12 20:46:01",no,no,no,no
"He's Out There",2018,http://www.icheckmovies.com/movies/hes+out+there/,96,2,0,6,,http://www.imdb.com/title/tt4052050/,"2019-04-08 23:40:08",no,no,no,no
Shazam!,2019,http://www.icheckmovies.com/movies/shazamexclamation-2019/,4217,184,3,115,,http://www.imdb.com/title/tt0448115/,"2019-04-08 16:10:34",no,no,no,no
Terrifier,2017,http://www.icheckmovies.com/movies/terrifier-2017/,279,11,0,16,,http://www.imdb.com/title/tt4281724/,"2019-04-05 21:21:20",no,no,no,no
"Mom and Dad",2017,http://www.icheckmovies.com/movies/mom+and+dad-2017/,628,27,0,33,,http://www.imdb.com/title/tt5462326/,"2019-03-18 21:52:30",no,no,no,no
"Truth or Dare",2017,http://www.icheckmovies.com/movies/truth+or+dare/,91,1,0,4,,http://www.imdb.com/title/tt7126746/,"2019-03-18 19:26:33",no,no,no,no
"Triple Frontier",2019,http://www.icheckmovies.com/movies/triple+frontier/,1398,32,0,47,,http://www.imdb.com/title/tt1488606/,"2019-03-16 16:41:09",no,no,no,no
"Three Billboards Outside Ebbing, Missouri",2017,http://www.icheckmovies.com/movies/three+billboards+outside+ebbing+missouri/,11917,1318,9,392,,http://www.imdb.com/title/tt5027774/,"2019-03-10 22:48:14",no,no,no,no
"The Wicker Man",2006,http://www.icheckmovies.com/movies/the+wicker+man-2006-1/,4150,44,0,104,,http://www.imdb.com/title/tt0450345/,"2019-03-09 15:43:36",no,no,no,no
"Captain Marvel",2019,http://www.icheckmovies.com/movies/captain+marvel/,6720,230,2,161,,http://www.imdb.com/title/tt4154664/,"2019-03-09 15:41:08",no,no,no,no
"My Bloody Valentine",2009,http://www.icheckmovies.com/movies/my+bloody+valentine-2009/,3008,33,1,83,,http://www.imdb.com/title/tt1179891/,"2019-03-03 04:01:58",no,no,no,no
Apostle,2018,http://www.icheckmovies.com/movies/apostle-2018/,979,33,0,53,,http://www.imdb.com/title/tt6217306/,"2019-03-02 23:39:48",no,no,no,no
"A Star Is Born",2018,http://www.icheckmovies.com/movies/a+star+is+born-2018/,6584,351,7,238,,http://www.imdb.com/title/tt1517451/,"2019-03-02 23:38:21",no,no,no,no
"The Autopsy of Jane Doe",2016,http://www.icheckmovies.com/movies/the+autopsy+of+jane+doe/,2094,88,1,104,,http://www.imdb.com/title/tt3289956/,"2019-03-02 00:55:45",no,no,no,no
"Hold the Dark",2018,http://www.icheckmovies.com/movies/hold+the+dark/,714,12,0,31,,http://www.imdb.com/title/tt5057140/,"2019-03-01 20:32:20",no,no,no,no
"Solo: A Star Wars Story",2018,http://www.icheckmovies.com/movies/solo+a+star+wars+story/,6158,195,2,128,,http://www.imdb.com/title/tt3778644/,"2019-02-24 05:34:41",no,no,no,no
"Life After Beth",2014,http://www.icheckmovies.com/movies/life+after+beth/,1025,27,0,71,,http://www.imdb.com/title/tt2581244/,"2019-02-21 22:44:19",no,no,no,no
"Bohemian Rhapsody",2018,http://www.icheckmovies.com/movies/bohemian+rhapsody/,8154,516,6,207,,http://www.imdb.com/title/tt1727824/,"2019-02-17 23:39:37",no,no,no,no
Radius,2017,http://www.icheckmovies.com/movies/radius-2017/,189,5,0,8,,http://www.imdb.com/title/tt6097798/,"2019-02-07 19:18:11",no,no,no,no
